ID,Vendor,Country,Shipment Mode,Weight (Kilograms),Freight Cost (USD),Line Item Value,Line Item Quantity,Unit Price,Scheduled Delivery Date,Delivered to Client Date,delay_days,is_delayed,delay_probability,risk_category
14571,"Orgenics, Ltd",Nigeria,Air,1303.0,28734.43,244216.0,2744,0.89,2012-11-28 00:00:00,2012-11-27 00:00:00,-1,0,0.495,MEDIUM
14578,Aurobindo Pharma Limited,Haiti,Ocean,6385.0,8768.76,20240.0,3680,0.06,2013-08-07 00:00:00,2013-08-07 00:00:00,0,0,0.141,LOW
14605,HETERO LABS LIMITED,Haiti,Ocean,5864.0,7558.01,231258.24,71376,0.11,2013-08-07 00:00:00,2013-08-07 00:00:00,0,0,0.037,LOW
14628,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,1236.47,48,0.21,2014-08-27 00:00:00,2014-08-27 00:00:00,0,0,0.023,LOW
14658,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Air,2272.0,14603.71,69807.3,2265,0.1,2015-04-25 00:00:00,2015-04-25 00:00:00,0,0,0.021,LOW
14665,"Orgenics, Ltd",Haiti,Air,227.0,2486.62,97680.0,1000,0.98,2010-09-13 00:00:00,2010-09-13 00:00:00,0,0,0.03,LOW
14694,BRISTOL-MYERS SQUIBB,Côte d'Ivoire,Air,1278.0,1742.12,57000.0,6000,0.16,2010-09-08 00:00:00,2010-09-08 00:00:00,0,0,0.008,LOW
14710,MICRO LABS LIMITED,Haiti,Air,2423.0,14650.41,89125.84,29908,0.1,2014-09-12 00:00:00,2014-09-12 00:00:00,0,0,0.015,LOW
14743,Aurobindo Pharma Limited,South Africa,Ocean,4416.0,7334.83,641375.0,87500,0.12,2011-03-04 00:00:00,2011-03-04 00:00:00,0,0,0.214,LOW
14785,"Orgenics, Ltd",Côte d'Ivoire,Air,1394.0,20822.73,256000.0,3200,0.8,2013-08-08 00:00:00,2013-08-08 00:00:00,0,0,0.071,LOW
14803,Aurobindo Pharma Limited,Rwanda,Air,4365.0,,14677.2,9720,0.01,2014-05-06 00:00:00,2014-05-06 00:00:00,0,0,0.129,LOW
14811,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Rwanda,Air,2712.0,37680.04,99666.0,4068,24.5,2014-04-28 00:00:00,2014-04-28 00:00:00,0,0,0.007,LOW
14820,"Orgenics, Ltd",Pakistan,Air,1017.0,14959.84,170560.0,2132,0.8,2012-06-29 00:00:00,2012-06-29 00:00:00,0,0,0.16,LOW
